Price,ZAR
Ticker,USDZAR=X
Date,
2011-01-10,6.785999774932861
2011-01-11,6.811999797821045
2011-01-12,6.86899995803833
2011-01-13,6.811800003051758
2011-01-14,6.818999767303467
2011-01-17,6.914299964904785
2011-01-18,6.88100004196167
2011-01-19,6.894000053405762
2011-01-20,6.986999988555908
2011-01-21,7.061999797821045
2011-01-24,7.048999786376953
2011-01-25,6.992000102996826
2011-01-26,7.046999931335449
2011-01-27,7.063399791717529
2011-01-28,7.047999858856201
2011-01-31,7.160900115966797
2011-02-01,7.177000045776367
2011-02-02,7.0971999168396
2011-02-03,7.157299995422363
2011-02-04,7.235499858856201
2011-02-07,7.243000030517578
2011-02-08,7.230199813842773
2011-02-09,7.189000129699707
2011-02-10,7.19950008392334
2011-02-11,7.269000053405762
2011-02-14,7.255000114440918
2011-02-15,7.2708001136779785
2011-02-16,7.31689977645874
2011-02-17,7.245200157165527
2011-02-18,7.17140007019043
2011-02-21,7.119999885559082
2011-02-22,7.150000095367432
2011-02-23,7.1479997634887695
2011-02-24,7.10260009765625
2011-02-25,7.039999961853027
2011-02-28,6.9899001121521
2011-03-01,6.9629998207092285
2011-03-02,6.985000133514404
2011-03-03,6.88100004196167
2011-03-04,6.921899795532227
2011-03-07,6.869999885559082
2011-03-08,6.873000144958496
2011-03-09,6.875
2011-03-10,6.859799861907959
2011-03-11,6.914000034332275
2011-03-14,6.900000095367432
2011-03-15,6.827700138092041
2011-03-16,6.963799953460693
2011-03-17,7.17110013961792
2011-03-18,7.081299781799316
2011-03-21,7.000400066375732
2011-03-22,6.92549991607666
2011-03-23,6.902900218963623
2011-03-24,6.915999889373779
2011-03-25,6.868100166320801
2011-03-28,6.861999988555908
2011-03-29,6.850599765777588
2011-03-30,6.8317999839782715
2011-03-31,6.822000026702881
2011-04-01,6.76200008392334
2011-04-04,6.682300090789795
2011-04-05,6.711999893188477
2011-04-06,6.701600074768066
2011-04-07,6.681000232696533
2011-04-08,6.663300037384033
2011-04-11,6.63700008392334
2011-04-12,6.679200172424316
2011-04-13,6.735799789428711
2011-04-14,6.801000118255615
2011-04-18,6.790999889373779
2011-04-19,6.826000213623047
2011-04-20,6.80810022354126
2011-04-21,6.769599914550781
2011-04-22,6.707600116729736
2011-04-25,6.691299915313721
2011-04-26,6.725100040435791
2011-04-27,6.670899868011475
2011-04-28,6.578700065612793
2011-04-29,6.5980000495910645
2011-05-02,6.563000202178955
2011-05-03,6.604000091552734
2011-05-04,6.63100004196167
2011-05-05,6.659999847412109
2011-05-06,6.722700119018555
2011-05-09,6.696300029754639
2011-05-10,6.698599815368652
2011-05-11,6.734899997711182
2011-05-12,6.872200012207031
2011-05-13,6.8867998123168945
2011-05-16,7.015399932861328
2011-05-17,6.97790002822876
2011-05-18,6.9496002197265625
2011-05-19,6.879000186920166
2011-05-20,6.834000110626221
2011-05-23,6.9019999504089355
2011-05-24,7.004000186920166
2011-05-25,6.958600044250488
2011-05-26,7.033299922943115
2011-05-27,6.938000202178955
2011-05-30,6.896999835968018
2011-05-31,6.923799991607666
2011-06-01,6.800099849700928
2011-06-02,6.809700012207031
2011-06-03,6.693900108337402
2011-06-06,6.677999973297119
2011-06-07,6.777500152587891
2011-06-08,6.704100131988525
2011-06-09,6.723999977111816
2011-06-10,6.7220001220703125
2011-06-13,6.7820000648498535
2011-06-14,6.782700061798096
2011-06-15,6.737800121307373
2011-06-16,6.838399887084961
2011-06-17,6.828999996185303
2011-06-20,6.744999885559082
2011-06-21,6.780600070953369
2011-06-22,6.706900119781494
2011-06-23,6.775899887084961
2011-06-24,6.827300071716309
2011-06-27,6.880899906158447
2011-06-28,6.839799880981445
2011-06-29,6.824999809265137
2011-06-30,6.7779998779296875
2011-07-01,6.75600004196167
2011-07-04,6.727200031280518
2011-07-05,6.714399814605713
2011-07-06,6.724299907684326
2011-07-07,6.734799861907959
2011-07-08,6.654799938201904
2011-07-11,6.716800212860107
2011-07-12,6.834700107574463
2011-07-13,6.846499919891357
2011-07-14,6.776299953460693
2011-07-15,6.832600116729736
2011-07-18,6.888599872589111
2011-07-19,6.972499847412109
2011-07-20,6.911799907684326
2011-07-21,6.852200031280518
2011-07-22,6.766499996185303
2011-07-25,6.758999824523926
2011-07-26,6.766200065612793
2011-07-27,6.6753997802734375
2011-07-28,6.676199913024902
2011-07-29,6.714399814605713
2011-08-01,6.664999961853027
2011-08-02,6.71999979019165
2011-08-03,6.787700176239014
2011-08-04,6.715700149536133
2011-08-05,6.935500144958496
2011-08-08,6.934500217437744
2011-08-09,7.171999931335449
2011-08-10,7.086100101470947
2011-08-11,7.275199890136719
2011-08-12,7.185100078582764
2011-08-15,7.156799793243408
2011-08-16,7.047999858856201
2011-08-17,7.143400192260742
2011-08-18,7.083199977874756
2011-08-19,7.163899898529053
2011-08-22,7.186999797821045
2011-08-23,7.2058000564575195
2011-08-24,7.160999774932861
2011-08-25,7.262499809265137
2011-08-26,7.216000080108643
2011-08-29,7.146100044250488
2011-08-30,7.044300079345703
2011-08-31,7.070000171661377
2011-09-01,6.99399995803833
2011-09-02,6.979400157928467
2011-09-05,7.061299800872803
2011-09-06,7.111100196838379
2011-09-07,7.164999961853027
2011-09-08,7.110199928283691
2011-09-09,7.157100200653076
2011-09-12,7.2829999923706055
2011-09-13,7.402500152587891
2011-09-14,7.270999908447266
2011-09-15,7.388000011444092
2011-09-16,7.377500057220459
2011-09-19,7.4710001945495605
2011-09-20,7.702000141143799
2011-09-21,7.71560001373291
2011-09-22,8.238401412963867
